backend,backward_iqr_s,backward_mean_s,backward_median_s,backward_std_s,batch_size,device,dimension,error_message,evaluator,forward_iqr_s,forward_mean_s,forward_median_s,forward_std_s,measurements,peak_cuda_memory_bytes,repeats,rho,success,total_iqr_s,total_mean_s,total_median_s,total_std_s,warmups
vectorized,1.5382393030449748e-06,6.236717803403735e-05,5.851147579960525e-05,1.5307745998638284e-05,128,cpu,8,,direct,7.0679670898243785e-06,0.00019912264845333994,0.00018582699703983963,3.4178452791529474e-05,50,,5,0.325227291513248,True,9.705734555609524e-06,0.0002614898264873773,0.0002452209882903844,3.89908692750135e-05,10
horner,1.7882412066683173e-06,6.146378489211202e-05,5.679100286215544e-05,1.6783941905170713e-05,128,cpu,8,,direct,7.884707883931696e-06,0.00017611477244645356,0.0001647394965402782,2.6261902899736353e-05,50,,5,0.325227291513248,True,1.306123158428818e-05,0.00023757855733856558,0.00022212151088751853,3.351155135846436e-05,10
compiled,2.252767444588244e-06,6.381429266184568e-05,5.894049536436796e-05,1.282344471044689e-05,128,cpu,8,,direct,8.528499165549874e-06,0.00013437106646597386,0.0001240809797309339,2.5481124598774205e-05,50,,5,0.325227291513248,True,1.185022119898349e-05,0.00019818535912781955,0.00018366900621913373,3.404629931333349e-05,10
vectorized,3.95200913771987e-06,6.544601195491851e-05,6.003346061334014e-05,1.6603064715764005e-05,128,cpu,128,,direct,4.58415161119774e-05,0.00039429310290142896,0.0003649139835033566,6.16675326919997e-05,50,,5,0.036545092839805476,True,5.117151886224747e-05,0.00045973911485634744,0.0004251880163792521,7.1518274662839e-05,10
horner,7.3837145464494824e-06,7.200118200853467e-05,6.201452924869955e-05,3.289694444529363e-05,128,cpu,128,,direct,0.00011416670167818666,0.000851633891928941,0.0007779210282023996,0.00017777543597454138,50,,5,0.036545092839805476,True,0.00012406747555360198,0.0009236350739374757,0.000840349995996803,0.0002002495633135243,10
compiled,1.3320095604285598e-06,6.387733668088913e-05,5.959247937425971e-05,1.2932546141148896e-05,128,cpu,128,,direct,6.0655002016574144e-06,0.00014126003999263048,0.00013292449875734746,2.5107115482048798e-05,50,,5,0.036545092839805476,True,8.692979463376105e-06,0.00020513737667351962,0.00019273452926427126,3.354572064173409e-05,10
vectorized,3.2394746085628867e-06,7.0414048852399e-05,6.934499833732843e-05,4.5442311850277255e-06,128,cpu,2048,,direct,4.735877155326307e-05,0.0007315511358901858,0.0007244705047924072,5.331306435925014e-05,50,,5,0.00243073871777033,True,4.763454489875585e-05,0.0008019651847425848,0.0007937594782561064,5.513434803146502e-05,10
horner,1.2655975297093391e-05,0.00012127955607138574,0.00011260202154517174,2.3915679684183353e-05,128,cpu,2048,,direct,0.0004004617512691766,0.011280022766208276,0.011219689506106079,0.0003458157381552235,50,,5,0.00243073871777033,True,0.0004276732506696135,0.011401302322279662,0.011349271982908249,0.000348406393572771,10
compiled,2.027984010055661e-06,6.436434225179255e-05,6.174697773531079e-05,9.79754015211303e-06,128,cpu,2048,,direct,8.382005034945905e-06,0.00024216492543928326,0.000231329002417624,3.5209678082788644e-05,50,,5,0.00243073871777033,True,1.0659961844794452e-05,0.0003065292676910758,0.0002947825123555958,4.121742846008328e-05,10
vectorized,1.1292577255517244e-06,6.423887680284679e-05,6.021300214342773e-05,1.459501897461835e-05,128,cpu,9,,neighbor,6.513000698760152e-06,0.00018260433198884129,0.00017226097406819463,3.410535343997242e-05,50,,5,0.3033370452904235,True,9.020761353895068e-06,0.0002468432087916881,0.00023299347958527505,4.270339502138693e-05,10
horner,9.509822120890021e-07,6.189679936505854e-05,5.8738020015880466e-05,1.1416539798274664e-05,128,cpu,9,,neighbor,2.7837377274408937e-06,0.00016736318496987223,0.00016009900718927383,2.527169774793401e-05,50,,5,0.3033370452904235,True,6.842979928478599e-06,0.00022925998433493078,0.0002191259991377592,3.157129359310282e-05,10
