backend,backward_iqr_s,backward_mean_s,backward_median_s,backward_std_s,batch_size,device,dimension,error_message,evaluator,forward_iqr_s,forward_mean_s,forward_median_s,forward_std_s,measurements,peak_cuda_memory_bytes,repeats,rho,success,total_iqr_s,total_mean_s,total_median_s,total_std_s,warmups
vectorized,5.750000127591193e-06,0.0001161330200266093,0.0001106069830711931,1.5692028345779755e-05,1024,cuda,8,,direct,1.3460026821121573e-05,0.0003925666932482272,0.00037649698788300157,4.054284574370943e-05,50,83968,5,0.325227291513248,True,3.707423456944525e-05,0.0005086997132748366,0.0004881495260633528,4.907556349910901e-05,10
horner,6.2175095081329346e-06,0.00011715685483068227,0.00010940548963844776,2.0546763223542244e-05,1024,cuda,8,,direct,5.081045674160123e-05,0.00042691894411109386,0.00040208097198046744,5.837218329464197e-05,50,46592,5,0.325227291513248,True,6.058547296561301e-05,0.0005440757989417761,0.0005144230090081692,7.022152187654091e-05,10
compiled,5.344222881831229e-05,0.00013606072263792158,0.00011157998233102262,4.2062603267728176e-05,1024,cuda,8,,direct,1.553901529405266e-05,0.00024999008374288677,0.0002373750030528754,3.5881156937836185e-05,50,26112,5,0.325227291513248,True,7.507919508498162e-05,0.00038605080638080835,0.00035432600998319685,5.7425262968221024e-05,10
triton,1.8713224562816322e-05,0.00012396016367711128,0.00011211697710677981,2.5197330344530935e-05,1024,cuda,8,,direct,1.3112512533552945e-05,0.0002300557605922222,0.00021894002566114068,4.317231866511739e-05,50,26112,5,0.325227291513248,True,4.297727718949318e-05,0.0003540159242693335,0.0003342379932291806,5.678730224654337e-05,10
vectorized,7.031499990262091e-06,0.00011873917351476849,0.0001125370035879314,1.569776529084515e-05,1024,cuda,128,,direct,3.866526822093874e-05,0.00041001853486523034,0.0003891455417033285,5.4832806968185456e-05,50,1068032,5,0.036545092839805476,True,4.928572161588818e-05,0.0005287577083799988,0.0005051549815107137,6.214090386855376e-05,10
horner,4.76682762382552e-05,0.00021828094846569002,0.00021159049356356263,3.348834992183258e-05,1024,cuda,128,,direct,0.00021336626377888024,0.0026616298551671207,0.0026243985048495233,0.0001478581083208165,50,47616,5,0.036545092839805476,True,0.000243502261582762,0.0028799108036328108,0.0028441039903555065,0.00016395181765151658,10
compiled,7.621399709023535e-05,0.00016541856457479297,0.0001695775135885924,4.430323779745506e-05,1024,cuda,128,,direct,2.3140237317420542e-05,0.0002590204153675586,0.0002439405070617795,4.7728498504810756e-05,50,27136,5,0.036545092839805476,True,9.32875118451193e-05,0.00042443897994235157,0.0004166009894106537,6.629076501131073e-05,10
triton,5.115725798532367e-06,0.00011164481099694967,0.00010708850459195673,1.2830727329492353e-05,1024,cuda,128,,direct,1.2823045835830271e-05,0.0002235906117130071,0.00021290453150868416,3.0108099416031363e-05,50,27136,5,0.036545092839805476,True,2.1468018530867994e-05,0.00033523542270995674,0.0003219479986000806,3.6856384622398554e-05,10
vectorized,2.1203028154559433e-05,0.00012979371449910103,0.00011238350998610258,3.627325962520437e-05,1024,cuda,2048,,direct,3.376246604602784e-05,0.0004755816732067615,0.0004555275372695178,5.3179236407051704e-05,50,16808448,5,0.00243073871777033,True,6.810155173297971e-05,0.0006053753877058625,0.0005746084789279848,6.910157992321008e-05,10
horner,8.156325202435255e-05,0.00026339273294433954,0.00025271400227211416,6.129933378118193e-05,1024,cuda,2048,,direct,0.000941705220611766,0.036732668521814046,0.03659098397474736,0.0007668483395825304,50,55808,5,0.00243073871777033,True,0.0009927435021381825,0.036996061254758385,0.03686822101008147,0.0007852394580583005,10
