dim,gradient_tolerance,retained_terms,rho,value_tolerance
7,1e-10,2,0.01,1e-10
7,1e-10,4,0.1,1e-10
7,1e-10,6,0.25,1e-10
7,1e-10,10,0.5,1e-10
7,1e-10,18,0.75,1e-10
7,1e-10,34,0.9,1e-10
7,1e-10,52,0.95,1e-10
7,1e-10,80,0.98,1e-10
7,1e-10,102,0.99,1e-10
7,1e-10,121,0.995,1e-10
7,1e-10,145,0.999,1e-10
9,1e-10,3,0.01,1e-10
9,1e-10,4,0.1,1e-10
9,1e-10,6,0.25,1e-10
9,1e-10,9,0.5,1e-10
9,1e-10,15,0.75,1e-10
9,1e-10,25,0.9,1e-10
9,1e-10,33,0.95,1e-10
9,1e-10,41,0.98,1e-10
9,1e-10,46,0.99,1e-10
9,1e-10,49,0.995,1e-10
9,1e-10,51,0.999,1e-10
17,1e-10,7,0.01,1e-10
17,1e-10,7,0.1,1e-10
17,1e-10,7,0.25,1e-10
17,1e-10,9,0.5,1e-10
17,1e-10,12,0.75,1e-10
17,1e-10,14,0.9,1e-10
17,1e-10,15,0.95,1e-10
17,1e-10,16,0.98,1e-10
17,1e-10,17,0.99,1e-10
17,1e-10,17,0.995,1e-10
17,1e-10,17,0.999,1e-10
33,1e-10,15,0.01,1e-10
33,1e-10,15,0.1,1e-10
33,1e-10,15,0.25,1e-10
33,1e-10,15,0.5,1e-10
33,1e-10,15,0.75,1e-10
33,1e-10,16,0.9,1e-10
33,1e-10,16,0.95,1e-10
33,1e-10,17,0.98,1e-10
33,1e-10,17,0.99,1e-10
33,1e-10,17,0.995,1e-10
33,1e-10,17,0.999,1e-10
