backward_iqr_s,backward_max_s,backward_mean_s,backward_median_s,backward_min_s,backward_std_s,batch_size,benchmark,device,dim,direct_backend_requested,direct_backend_resolved,dtype,error_message,failure_type,family,forward_iqr_s,forward_max_s,forward_mean_s,forward_median_s,forward_min_s,forward_std_s,kappa,kl_autograd_route,kl_iqr_s,kl_mean_s,kl_median_s,kl_std_s,laplace_backend_requested,laplace_backend_resolved,loss_construction_iqr_s,loss_construction_mean_s,loss_construction_median_s,loss_construction_std_s,measure_iters,method,nan_or_inf_grad,nan_or_inf_loss,parameter_iqr_s,parameter_mean_s,parameter_median_s,parameter_std_s,peak_cuda_memory_bytes,power_exponent,repeat_total_medians_s,repeats,retained_correction_terms,rho,runtime_error,sampling_iqr_s,sampling_mean_s,sampling_median_s,sampling_std_s,seed,success,timeout_hit,timeout_s,total_iqr_s,total_max_s,total_mean_s,total_median_s,total_min_s,total_std_s,warmup_iters
6.149522960186005e-06,0.0003373810322955251,0.0003272107052616775,0.0003256634809076786,0.00032174994703382254,3.4504593987357647e-06,128,runtime,cpu,8,auto,vectorized,float32,,,spcauchy,6.800953997299075e-06,0.0010363119654357433,0.00055327287921682,0.0005515575176104903,0.000542887020856142,3.0965115425904104e-05,10.0,custom_single_node,2.6588095352053642e-06,0.0001833903039805591,0.0001802555052563548,3.034909376320505e-05,auto,,2.717715688049793e-07,1.5614802949130535e-05,1.554953632876277e-05,5.685066083988565e-07,50,spcauchy_direct,False,False,7.486960384994745e-07,4.851887607946992e-05,4.824798088520765e-05,1.3998448504037662e-06,,,0.00087867595721;0.000878237071447;0.000878139981069;0.000878273043782;0.000877730897628,5,3,0.325227291513248,False,5.833222530782223e-06,0.00030574889620766044,0.00030443700961768627,4.346735033438928e-06,0,True,False,5.0,4.574132617563009e-06,0.0013690979685634375,0.0008804835844784975,0.000878272985573858,0.0008657150901854038,3.128210255688732e-05,10
5.5604614317417145e-06,0.0006238340865820646,0.00033205768978223206,0.0003270154702477157,0.0003241610247641802,2.9010461687395148e-05,128,runtime,cpu,8,auto,vectorized,float32,,,spcauchy,5.213223630562425e-06,0.0010102608939632773,0.0006368806818500162,0.0006352064665406942,0.000625160988420248,2.4320933692095056e-05,10.0,custom_single_node,5.295471055433154e-06,0.00026631908351555466,0.0002640785533003509,1.5310049484980076e-05,auto,,2.5227200239896774e-07,1.561435963958502e-05,1.5514495316892862e-05,6.755721335756218e-07,50,spcauchy_direct_fixed,False,False,5.065812729299068e-07,4.857554333284497e-05,4.821951733902097e-05,1.7295883746917363e-06,,,0.000963098951615;0.000962767982855;0.000961632002145;0.000961688929237;0.000964974984527,5,3,0.325227291513248,False,5.819572834298015e-06,0.00030637169536203146,0.00030465598683804274,9.421233046981152e-06,0,True,False,5.0,4.7487556003034115e-06,0.001634094980545342,0.0009689383716322481,0.0009631519787944853,0.0009539939928799868,4.778781650321529e-05,10
6.87985448166728e-06,0.0004875150043517351,0.0003303447915241122,0.0003237950149923563,0.0003199760103598237,1.8703108220542896e-05,128,runtime,cpu,8,auto,,float32,,,spcauchy,6.586691597476602e-06,0.0007055690512061119,0.00036967557948082685,0.0003622220829129219,0.0003564140060916543,2.9497186877029506e-05,10.0,custom_single_node,1.0965450201183558e-06,0.00011387711763381958,0.00011084001744166017,1.1964528595729914e-05,auto,compiled,4.1667954064905643e-07,1.9479162991046906e-05,1.8860504496842623e-05,2.8170911181352977e-06,50,spcauchy_laplace,False,False,5.68310497328639e-07,4.831919306889176e-05,4.715798422694206e-05,5.505230266310002e-06,,,0.000689745997079;0.000694378977641;0.000689161941409;0.000688609085046;0.000687826075591,5,,0.325227291513248,False,3.5906850825995207e-06,0.0001880001057870686,0.0001842110068537295,1.7747322253922377e-05,0,True,False,5.0,9.822339052334428e-06,0.0010792900575324893,0.0007000203710049391,0.0006891930243000388,0.0006792850326746702,4.0777312277475755e-05,10
6.7173095885664225e-06,0.0004725279286503792,0.00038531527714803814,0.0003803520230576396,0.0003745859721675515,1.348415254379894e-05,128,runtime,cpu,8,auto,horner_reference,float32,,,spcauchy,6.625487003475428e-06,0.0004605470458045602,0.0003724377322942018,0.0003677344648167491,0.0003618909977376461,1.246643849253607e-05,10.0,reference_term_graph,1.4020479284226894e-06,0.00012444256572052836,0.00012256146874278784,7.137544136635334e-06,auto,,2.928136382251978e-07,1.3574091251939535e-05,1.3412965927273035e-05,1.140478455819841e-06,50,spcauchy_direct_autograd,False,False,5.541951395571232e-07,4.836037149652839e-05,4.768150392919779e-05,3.6096467050166027e-06,,,0.000750947045162;0.000751203042455;0.000750261009671;0.000751498970203;0.00075156299863,5,3,0.325227291513248,False,3.96501854993403e-06,0.00018606070382520557,0.00018327555153518915,8.075159526759329e-06,0,True,False,5.0,5.528010660782456e-06,0.0008580039720982313,0.00075775300944224,0.0007512769661843777,0.0007382140029221773,1.9026452999269708e-05,10
1.1908705346286297e-05,0.0017344369553029537,0.0016609326084144414,0.001659466011915356,0.0016449879622086883,8.994667248250448e-06,128,runtime,cpu,8,auto,,float32,,,vmf,1.2078438885509968e-05,0.002211507991887629,0.002102446688339114,0.002101304999087006,0.00208102201577276,1.2100342832258655e-05,10.0,native,9.773444617167115e-06,0.0006068452894687652,0.0006060189916752279,9.166244846822416e-06,auto,,3.827153705060482e-07,1.7564970068633555e-05,1.7419515643268824e-05,1.139271511517059e-06,50,vmf_official,False,False,9.092036634683609e-07,6.238971697166562e-05,6.21710205450654e-05,2.3264439950529356e-06,,,0.00374891795218;0.00375292310491;0.00377004407346;0.00376720610075;0.00377082196064,5,,,False,1.1002004612237215e-05,0.0014156467118300498,0.0014145724708214402,8.836561023876023e-06,0,True,False,5.0,1.9118800992146134e-05,0.00388058100361377,0.0037633792967535556,0.003762537962757051,0.003731301985681057,1.7019344329457383e-05,10
1.7862708773463964e-05,0.0016188969602808356,0.0014721504193730653,0.0014731299597769976,0.0014503640122711658,1.5123406824191452e-05,128,runtime,cpu,8,auto,,float32,,,vmf,2.142653102055192e-05,0.0025990440044552088,0.0025506389420479536,0.002548824471887201,0.0025191180175170302,1.4635045022368017e-05,10.0,native,2.137778210453689e-05,0.0010570040545426309,0.0010545970289967954,1.21348756138317e-05,auto,,2.952292561531067e-07,1.6893550287932157e-05,1.6802980098873377e-05,7.224259283822926e-07,50,vmf_robust,False,False,8.77276761457324e-07,6.830818532034755e-05,6.819301052019e-05,2.3575754108830357e-06,,,0.00402125623077;0.00402661692351;0.00401197373867;0.00402186112478;0.00401652697474,5,,,False,8.054921636357903e-06,0.001408433151897043,0.0014080569962970912,6.487916432702936e-06,0,True,False,5.0,2.4545268388465047e-05,0.004209305974654853,0.004022789361421019,0.004020710999611765,0.003978773020207882,2.2356146937303597e-05,10
7.018097676336765e-06,0.0006364490836858749,0.0005424500601366163,0.0005388180143199861,0.000530772958882153,1.5016010924003796e-05,128,runtime,cpu,8,auto,,float32,,,powerspherical,6.072194082662463e-06,0.0009129090467467904,0.0005803560349158943,0.0005751145072281361,0.0005646409699693322,2.599982512592403e-05,10.0,native,9.455252438783646e-07,0.00010580940451472997,0.00010507699334993958,3.511093415039462e-06,auto,,2.651941031217575e-07,1.2971614487469197e-05,1.2864999007433653e-05,1.373593809099852e-06,50,power_spherical,False,False,9.512295946478844e-07,5.153430486097932e-05,5.067145684733987e-05,4.290469706029477e-06,,20.0,0.00111733295489;0.00111048400868;0.00111160404049;0.00111169100273;0.00111076096073,5,,,False,5.725334631279111e-06,0.00041004071105271576,0.000404443999286741,2.4882131773181796e-05,0,True,False,5.0,1.2355187209323049e-05,0.0014943430433049798,0.0011228060950525104,0.0011119419941678643,0.0011023549595847726,3.1911550881440894e-05,10
5.762034561485052e-06,0.0003739789826795459,0.0003250449714250863,0.00032249651849269867,0.00031852605752646923,7.752886069285598e-06,128,runtime,cpu,16,auto,vectorized,float32,,,spcauchy,6.47880369797349e-06,0.0005163339665159583,0.0004360385192558169,0.0004334374680183828,0.00042635598219931126,1.0831646261345315e-05,10.0,custom_single_node,3.113702405244112e-06,0.00018221105448901654,0.00018073845421895385,6.9381298645911185e-06,auto,,4.932226147502661e-07,1.5160062350332737e-05,1.5011988580226898e-05,1.455798711968501e-06,50,spcauchy_direct,False,False,4.88973455503583e-07,5.0454524345695974e-05,5.0078495405614376e-05,2.1687910256952826e-06,,,0.000757074914873;0.000757058034651;0.000759098911658;0.000758797978051;0.000758570036851,5,7,0.20871215252208,False,1.554988557472825e-06,0.00018821287807077168,0.00018621148774400353,7.413796469855477e-06,0,True,False,5.0,5.134614184498787e-06,0.0008559650741517544,0.0007610834906809032,0.0007580560049973428,0.0007474700687453151,1.3268302821805133e-05,10
5.822454113513231e-06,0.00041076703928411007,0.0003278534756973386,0.0003232815070077777,0.00032035401090979576,1.2342965881950679e-05,128,runtime,cpu,16,auto,vectorized,float32,,,spcauchy,6.835820386186242e-06,0.0006215199828147888,0.0005224385876208544,0.0005187259521335363,0.0005104080773890018,1.450424012392765e-05,10.0,custom_single_node,5.86951500736177e-06,0.00026758931344375016,0.0002633419935591519,1.0729655823151058e-05,auto,,3.1953095458447933e-07,1.5210483688861131e-05,1.4957564417272806e-05,2.326563590624087e-06,50,spcauchy_direct_fixed,False,False,4.887115210294724e-07,5.100512458011508e-05,5.022645927965641e-05,3.65003640082253e-06,,,0.000842694076709;0.00084249896463;0.000842444947921;0.000842617009766;0.000845593982376,5,4,0.20871215252208,False,1.8110149540007114e-06,0.00018863366590812802,0.00018646946409717202,7.314918894157883e-06,0,True,False,5.0,4.847417585551739e-06,0.000962347025051713,0.0008502920633181929,0.0008428249857388437,0.0008344979723915458,1.9074526265119974e-05,10
5.821289960294962e-06,0.00036586401984095573,0.00032982247276231645,0.0003260115045122802,0.0003226709086447954,9.412060803176635e-06,128,runtime,cpu,16,auto,,float32,,,spcauchy,6.156711606308818e-06,0.0004597380757331848,0.0003728173212148249,0.00036781904054805636,0.00036355003248900175,1.316711051171067e-05,10.0,custom_single_node,1.0422663763165474e-06,0.00011368248332291842,0.00011127500329166651,7.938765856094238e-06,auto,compiled,3.1755189411342144e-07,1.939515955746174e-05,1.911900471895933e-05,1.8732498139929588e-06,50,spcauchy_laplace,False,False,4.649918992072344e-07,5.080670211464167e-05,5.023396806791425e-05,2.8301457328331015e-06,,,0.000696934992447;0.000697363982908;0.000697448966093;0.000697599956766;0.000696951057762,5,,0.20871215252208,False,1.7387792468070984e-06,0.0001889329762198031,0.00018653052393347025,7.763415214212014e-06,0,True,False,5.0,6.0027523431926966e-06,0.0007980139926075935,0.0007026397939771414,0.0006973400013521314,0.0006885470356792212,1.610861679729989e-05,10
