device,evaluations,failure_types,failures,geomean_total_median_s,label,maximum_peak_cuda_memory_bytes,method,near_128_dimension,near_128_total_median_s,successes
cpu,9,,0,0.001802029364512302,Power Spherical,,power_spherical,128,0.0013465729425661266,9
cpu,9,,0,0.0013580616416146018,SC direct,,spcauchy_direct,128,0.0009254034957848489,9
cpu,9,,0,0.002820105390199124,SC termwise autograd reference,,spcauchy_direct_autograd,128,0.0019262720015831292,9
cpu,9,,0,0.0014607706152641583,SC fixed certified,,spcauchy_direct_fixed,128,0.0010568795260041952,9
cpu,9,,0,0.0012600226101979026,SC Laplace,,spcauchy_laplace,128,0.0009143364732153714,9
cpu,9,,0,0.0012555256740462307,SC even-neighbor,,spcauchy_neighbor,129,0.0009687659912742674,9
cpu,9,non_finite,5,0.003704713628391268,vMF original,,vmf_official,64,0.003412369464058429,4
cpu,9,,0,0.004330156283348022,vMF robust,,vmf_robust,128,0.003845748957246542,9
cuda,9,,0,0.002568035927659292,Power Spherical,100766208,power_spherical,128,0.002335211494937539,9
cuda,9,,0,0.001729101009649119,SC direct,100750336,spcauchy_direct,128,0.0014809374697506428,9
cuda,9,,0,0.006325016049701219,SC termwise autograd reference,100752384,spcauchy_direct_autograd,128,0.004568662028759718,9
cuda,9,,0,0.0018395327486756703,SC fixed certified,100751360,spcauchy_direct_fixed,128,0.001590618514455855,9
cuda,9,,0,0.0016896177802008458,SC Laplace,100752384,spcauchy_laplace,128,0.0014567809994332492,9
cuda,9,,0,0.0017507103726385263,SC even-neighbor,100822016,spcauchy_neighbor,129,0.0015470404759980738,9
cuda,9,non_finite,5,0.008968497543398471,vMF original,3313152,vmf_official,64,0.00732725445413962,4
cuda,9,,0,0.009089033494253355,vMF robust,92738560,vmf_robust,128,0.007945155550260097,9
