dimension,neighbor_max_abs_error,neighbor_rho_at_max,laplace_max_abs_error,laplace_rho_at_max,laplace_to_neighbor_error_ratio
7,0.0010995000526756726,1-,0.03564157319331018,0.45590653504427814,32.416163243080476
9,0.00047393657818872725,0.9999996324312825,0.02603717273288808,0.4456518389861066,54.938094950163915
11,0.0002451985005222923,0.9999984595287806,0.02046191861180313,0.43937040637198604,83.4504230989081
13,0.00014272304909468403,0.9999966656581611,0.016835355243138395,0.4351496041882425,117.95820892229983
15,9.019764763706917e-05,0.9999987539018592,0.014293037372456574,0.4321269141051523,158.46352700868513
17,6.056601904447234e-05,0.9999915801885711,0.012414057547531776,0.4298593795113626,204.96736855721684
19,4.260572569592114e-05,0.9999963653168329,0.010969707351193847,0.42809726848905977,257.4702618489616
21,3.109538073431395e-05,0.9999894852842526,0.009825285589160515,0.42668938462053035,315.97251286646093
23,2.338240801691427e-05,0.9999953698021234,0.008896405546725106,0.4255394000670717,380.4743095873471
25,1.8022155018115882e-05,0.9999987154278972,0.008127555320147195,0.42458249195538167,450.97577464944516
27,1.4182120878558635e-05,0.9999948567402552,0.007480742460895584,0.42377402420461513,527.4769919783586
29,1.1359587801962334e-05,0.9999890111698426,0.006929098832284097,0.42308218385598756,609.9780161994184
31,9.238779568931932e-06,0.9999948417700081,0.0064530924919434796,0.4224833526489757,698.4788893160596
33,7.6145547893702314e-06,1-,0.006038186969194115,0.4219600969642387,792.9796470337708
35,6.349711384245893e-06,0.9999765372414077,0.005673342021596639,0.4214989015990407,893.4802982813712
37,5.35012554792047e-06,0.9999578914791791,0.005350023226954548,0.4210895202667852,999.9808750346126
39,4.549765911576742e-06,1-,0.005061529892797623,0.4207235284421206,1112.4813872113095
41,3.9013801256260194e-06,0.9999764907843042,0.004802528088310609,0.4203943812437707,1230.9818406992554
43,3.37054905230616e-06,0.9999623060005693,0.004568719350306338,0.42009699218789714,1355.482231353488
45,2.931798235294991e-06,0.9999534380286338,0.004356601229789092,0.4198269591406718,1485.9826223173711
47,2.566000091519527e-06,0.9999365645501153,0.004163291306415573,0.4195803431430753,1622.4829142348808
49,2.2586027057514e-06,0.9999608855464651,0.003986395886617089,0.4193545608321042,1764.9832245688735
51,1.9984028085673344e-06,0.9999922260363608,0.003823910693700583,0.41914700286609774,1913.4834465339673
53,1.7766798237062176e-06,0.9999585169949621,0.0036741448153883027,0.4189555321802904,2067.983643627981
