abs_error,backward_iqr_s,backward_max_s,backward_mean_s,backward_median_s,backward_min_s,backward_std_s,batch_size,benchmark,device,dim,direct_backend_requested,direct_backend_resolved,dtype,error_message,failure_type,family,forward_iqr_s,forward_max_s,forward_mean_s,forward_median_s,forward_min_s,forward_std_s,kappa,kl_autograd_route,kl_error_threshold_exceeded,kl_iqr_s,kl_mean_s,kl_median_s,kl_std_s,loss_construction_iqr_s,loss_construction_mean_s,loss_construction_median_s,loss_construction_std_s,measure_iters,method,nan_or_inf_grad,nan_or_inf_loss,parameter_iqr_s,parameter_mean_s,parameter_median_s,parameter_std_s,peak_cuda_memory_bytes,power_exponent,quadrature_nodes,reference_source,rel_error,repeat_total_medians_s,repeats,retained_correction_terms,rho,runtime_error,sampling_iqr_s,sampling_mean_s,sampling_median_s,sampling_std_s,seed,series_k_terms,success,timeout_hit,timeout_s,total_iqr_s,total_max_s,total_mean_s,total_median_s,total_min_s,total_std_s,warmup_iters
0.0,,,,,,,32,robustness,cpu,2,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,direct,False,False,,,,,,,1000,direct_certified,0.0,,1,0,0.0,False,,,,,0,,True,False,5.0,,,,,,,1
0.0,,,,,,,32,robustness,cpu,2,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,neighbor,False,False,,,,,,,1000,direct_certified,0.0,,1,0,0.0,False,,,,,0,,True,False,5.0,,,,,,,1
7.725320756435394e-07,,,,,,,32,robustness,cpu,2,auto,,float32,,,spcauchy,,,,,,,,,True,,,,,,,,,1,laplace,False,False,,,,,,,1000,direct_certified,772532.0756435394,,1,,0.0,False,,,,,0,,True,False,5.0,,,,,,,1
4.276689882765604e-12,,,,,,,32,robustness,cpu,2,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,direct,False,False,,,,,,,1000,direct_certified,4.2764760447073786e-08,,1,0,0.01,False,,,,,0,,True,False,5.0,,,,,,,1
4.276689882765604e-12,,,,,,,32,robustness,cpu,2,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,neighbor,False,False,,,,,,,1000,direct_certified,4.2764760447073786e-08,,1,0,0.01,False,,,,,0,,True,False,5.0,,,,,,,1
0.0001772097791238323,,,,,,,32,robustness,cpu,2,auto,,float32,,,spcauchy,,,,,,,,,True,,,,,,,,,1,laplace,False,False,,,,,,,1000,direct_certified,1.7720091848719388,,1,,0.01,False,,,,,0,,True,False,5.0,,,,,,,1
9.768165304402388e-10,,,,,,,32,robustness,cpu,2,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,direct,False,False,,,,,,,1000,direct_certified,9.719242666899783e-08,,1,0,0.1,False,,,,,0,,True,False,5.0,,,,,,,1
9.768165304402388e-10,,,,,,,32,robustness,cpu,2,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,neighbor,False,False,,,,,,,1000,direct_certified,9.719242666899783e-08,,1,0,0.1,False,,,,,0,,True,False,5.0,,,,,,,1
0.01722926828186143,,,,,,,32,robustness,cpu,2,auto,,float32,,,spcauchy,,,,,,,,,True,,,,,,,,,1,laplace,False,False,,,,,,,1000,direct_certified,1.7142977640751091,,1,,0.1,False,,,,,0,,True,False,5.0,,,,,,,1
2.417230762774558e-09,,,,,,,32,robustness,cpu,2,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,direct,False,False,,,,,,,1000,direct_certified,3.745407735051686e-08,,1,0,0.25,False,,,,,0,,True,False,5.0,,,,,,,1
2.417230762774558e-09,,,,,,,32,robustness,cpu,2,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,neighbor,False,False,,,,,,,1000,direct_certified,3.745407735051686e-08,,1,0,0.25,False,,,,,0,,True,False,5.0,,,,,,,1
