model_family,reported_dim,ambient_latent_dim,seed,selected_epoch,best_eval_recon_loss,best_eval_total_loss,best_eval_kl,concentration_mean,concentration_q95,concentration_max,wall_clock_training_s,final_eval_recon_loss,final_eval_total_loss,final_eval_kl,run_dir
powerspherical,3,4,1,38,119.26926190340066,128.16373771957205,8.89447641976272,1807.3974900024414,2693.0339965820303,3897.72509765625,242.91001777502242,119.29631467408771,128.24094197719913,8.944627665266205,experiments/mnist/outputs/benchmark/powerspherical/dim_3/seed_1
powerspherical,3,4,4,39,118.39719844769827,127.40863983540595,9.01144118248662,1943.797076965332,2815.246411132812,3661.962158203125,242.38605869701132,118.60595046417623,127.60127470764932,8.995324074467526,experiments/mnist/outputs/benchmark/powerspherical/dim_3/seed_4
powerspherical,3,4,3,39,119.07590262497527,128.02728667440294,8.951383614841896,1888.200358868408,2905.7422851562496,4712.09326171875,242.9345374230179,119.34708732894704,128.34156567537332,8.994478165348873,experiments/mnist/outputs/benchmark/powerspherical/dim_3/seed_3
powerspherical,3,4,2,39,119.66745265526107,128.61643064474757,8.948978134348422,1861.8202000549315,2547.478271484375,3397.281982421875,243.3066706720274,119.84970817083045,128.81629345085048,8.966585111014451,experiments/mnist/outputs/benchmark/powerspherical/dim_3/seed_2
powerspherical,3,4,0,40,118.78100074092045,127.79537548596346,9.014374370816387,1963.9529903442383,3016.2243408203126,3933.85205078125,242.60639758902835,118.78100074092045,127.79537548596346,9.014374370816387,experiments/mnist/outputs/benchmark/powerspherical/dim_3/seed_0
powerspherical,2,3,1,40,133.72403832930553,140.32921214043338,6.605174360395987,2187.1619047668455,3922.4874511718745,6554.68798828125,243.53855083801318,133.72403832930553,140.32921214043338,6.605174360395987,experiments/mnist/outputs/benchmark/powerspherical/dim_2/seed_1
powerspherical,2,3,4,40,131.43931531302536,138.32661196551746,6.887296483486513,2783.8402828186036,4477.758642578125,5923.2763671875,241.6397935320274,131.43931531302536,138.32661196551746,6.887296483486513,experiments/mnist/outputs/benchmark/powerspherical/dim_2/seed_4
powerspherical,2,3,3,40,132.4442684318446,139.21147039872181,6.767201846158957,2435.587059143066,3465.125891113281,4786.07421875,242.54080236202572,132.4442684318446,139.21147039872181,6.767201846158957,experiments/mnist/outputs/benchmark/powerspherical/dim_2/seed_3
powerspherical,2,3,2,40,132.36874631084973,139.16632533978813,6.797578280485129,2493.0764052978516,3507.6004272460914,4696.39794921875,243.08865090896143,132.36874631084973,139.16632533978813,6.797578280485129,experiments/mnist/outputs/benchmark/powerspherical/dim_2/seed_2
powerspherical,2,3,0,40,132.65811041337025,139.40580788141565,6.747696942920927,2411.5603102783202,3783.5316894531243,5495.59375,242.51387175300624,132.65811041337025,139.40580788141565,6.747696942920927,experiments/mnist/outputs/benchmark/powerspherical/dim_2/seed_0
powerspherical,10,11,1,40,84.37623084345951,103.91129785851587,19.535066773619832,939.8955335266113,1325.442230224609,1849.4150390625,242.05596812197473,84.37623084345951,103.91129785851587,19.535066773619832,experiments/mnist/outputs/benchmark/powerspherical/dim_10/seed_1
powerspherical,10,11,4,40,84.49320307864419,103.94858396506008,19.455380306968205,919.3962831054688,1253.9179077148438,1714.0762939453125,243.85793510102667,84.49320307864419,103.94858396506008,19.455380306968205,experiments/mnist/outputs/benchmark/powerspherical/dim_10/seed_4
powerspherical,10,11,3,39,83.78560319731507,103.45377040814749,19.668167428125308,944.945628515625,1165.5371643066405,1449.3702392578125,243.6352143450058,83.76225560828101,103.45846576932111,19.696209943747217,experiments/mnist/outputs/benchmark/powerspherical/dim_10/seed_3
powerspherical,10,11,2,40,83.3334617131873,103.04917502101463,19.715712631805033,961.3556489929199,1259.53115234375,1665.630859375,243.71704069001134,83.3334617131873,103.04917502101463,19.715712631805033,experiments/mnist/outputs/benchmark/powerspherical/dim_10/seed_2
powerspherical,10,11,0,40,84.60042185723027,104.14545054375371,19.545028469230555,936.6456469238282,1271.1709716796875,1708.9791259765625,242.38062858500052,84.60042185723027,104.14545054375371,19.545028469230555,experiments/mnist/outputs/benchmark/powerspherical/dim_10/seed_0
powerspherical,20,21,1,40,77.77149818516985,104.29362980323502,26.522131328341327,541.423554826355,803.3437042236327,1141.109375,243.75010178697994,77.77149818516985,104.29362980323502,26.522131328341327,experiments/mnist/outputs/benchmark/powerspherical/dim_20/seed_1
powerspherical,20,21,4,40,80.9194019172765,106.94308809690838,26.02368608305726,505.2403963943481,706.7629699707031,1001.7118530273438,243.6140375380055,80.9194019172765,106.94308809690838,26.02368608305726,experiments/mnist/outputs/benchmark/powerspherical/dim_20/seed_4
powerspherical,20,21,3,39,81.7737092609647,107.70010733302635,25.926397637475894,499.1803888305664,689.0310974121093,961.146240234375,243.35327238502214,81.93152714982817,107.8352023740358,25.903675441500507,experiments/mnist/outputs/benchmark/powerspherical/dim_20/seed_3
powerspherical,20,21,2,40,92.62861855422395,116.73591285415843,24.107294565514675,406.6426129211426,539.843716430664,738.55517578125,242.780045159976,92.62861855422395,116.73591285415843,24.107294565514675,experiments/mnist/outputs/benchmark/powerspherical/dim_20/seed_2
powerspherical,20,21,0,40,78.34698776051968,104.6869570575183,26.33996980401534,532.8004686264038,793.6611572265621,1098.5201416015625,243.69487169600325,78.34698776051968,104.6869570575183,26.33996980401534,experiments/mnist/outputs/benchmark/powerspherical/dim_20/seed_0
powerspherical,5,6,1,40,106.9243710674817,118.9348286495933,12.010457751117174,1069.0756519073486,1397.41626586914,1756.083251953125,243.857343804033,106.9243710674817,118.9348286495933,12.010457751117174,experiments/mnist/outputs/benchmark/powerspherical/dim_5/seed_1
powerspherical,5,6,4,38,106.23641909828669,118.37458125247231,12.138161840318125,1128.588251309204,1554.980419921875,2169.713623046875,244.2086745229899,106.31108585792252,118.4705932230889,12.159507401381866,experiments/mnist/outputs/benchmark/powerspherical/dim_5/seed_4
powerspherical,5,6,3,39,105.85813971410823,117.98343001739889,12.125290327434298,1115.4490948913574,1460.7402221679683,1945.928955078125,243.8934264460113,106.00741741325282,118.15592821338508,12.148510993281498,experiments/mnist/outputs/benchmark/powerspherical/dim_5/seed_3
powerspherical,5,6,2,40,106.26766793939132,118.38304804548433,12.115380456175986,1107.7639848815918,1415.682763671875,1794.89111328125,243.72522268397734,106.26766793939132,118.38304804548433,12.115380456175986,experiments/mnist/outputs/benchmark/powerspherical/dim_5/seed_2
powerspherical,5,6,0,40,105.14307036580918,117.33856935138944,12.195498707928236,1145.6863128234863,1491.1595947265623,1998.6275634765625,243.08559726999374,105.14307036580918,117.33856935138944,12.195498707928236,experiments/mnist/outputs/benchmark/powerspherical/dim_5/seed_0
gaussian,3,3,1,38,119.31245142296899,128.48760571057284,9.175154046167302,,,,165.57689759199275,119.3108753252633,128.2442343989505,8.933358602885958,experiments/mnist/outputs/benchmark/gaussian/dim_3/seed_1
gaussian,3,3,4,40,116.74439809292177,125.8512462181381,9.10684781134883,,,,167.29458248597803,116.74439809292177,125.8512462181381,9.10684781134883,experiments/mnist/outputs/benchmark/gaussian/dim_3/seed_4
gaussian,3,3,3,37,118.96282379536689,128.04865921599955,9.085835251627088,,,,167.6172547210008,119.18881215928477,128.28575742697413,9.096945424623128,experiments/mnist/outputs/benchmark/gaussian/dim_3/seed_3
gaussian,3,3,2,40,119.15566794479949,128.20213076434558,9.046462481534935,,,,170.4165144370054,119.15566794479949,128.20213076434558,9.046462481534935,experiments/mnist/outputs/benchmark/gaussian/dim_3/seed_2
gaussian,3,3,0,38,119.07384867607793,128.42689388613158,9.353044739252404,,,,165.10338633798528,119.42124253285083,128.58934754963164,9.168105222001861,experiments/mnist/outputs/benchmark/gaussian/dim_3/seed_0
gaussian,2,2,1,38,133.21116232570213,140.18440362471569,6.973241806030273,,,,165.91475524700945,133.28155797644507,140.13224290292473,6.850684709186796,experiments/mnist/outputs/benchmark/gaussian/dim_2/seed_1
gaussian,2,2,4,40,132.3920667624172,139.3723408179947,6.98027392882335,,,,165.2890979560325,132.3920667624172,139.3723408179947,6.98027392882335,experiments/mnist/outputs/benchmark/gaussian/dim_2/seed_4
gaussian,2,2,3,40,132.8128742266305,139.64187313031547,6.82899906665464,,,,165.79413071100134,132.8128742266305,139.64187313031547,6.82899906665464,experiments/mnist/outputs/benchmark/gaussian/dim_2/seed_3
gaussian,2,2,2,40,133.97280961048753,140.94322658490532,6.970416455329219,,,,165.7445798710105,133.97280961048753,140.94322658490532,6.970416455329219,experiments/mnist/outputs/benchmark/gaussian/dim_2/seed_2
gaussian,2,2,0,38,132.97108642964423,139.87034944944745,6.899263200880606,,,,167.9518093499937,133.18843020668513,140.06547768508332,6.87704810009727,experiments/mnist/outputs/benchmark/gaussian/dim_2/seed_0
gaussian,10,10,1,40,81.27303468728367,100.47156785409662,19.198533239243904,,,,170.95816173398634,81.27303468728367,100.47156785409662,19.198533239243904,experiments/mnist/outputs/benchmark/gaussian/dim_10/seed_1
gaussian,10,10,4,40,81.0531599793253,100.57187536698353,19.51871560495111,,,,169.32504770200467,81.0531599793253,100.57187536698353,19.51871560495111,experiments/mnist/outputs/benchmark/gaussian/dim_10/seed_4
