model_family,reported_dim,ambient_latent_dim,num_completed_seeds,num_failed_seeds,nonfinite_run_count,best_eval_recon_loss_mean,best_eval_recon_loss_std,best_eval_recon_loss_min,best_eval_recon_loss_max,best_eval_total_loss_mean,best_eval_total_loss_std,best_eval_kl_mean,best_eval_kl_std,selected_epoch_mean,selected_epoch_min,selected_epoch_max,concentration_mean,concentration_q95_mean,concentration_max,wall_clock_training_s_mean,bold_best_mean,dagger_paired_bh,paired_runner_up,paired_num_seeds,paired_improvement_mean,paired_improvement_ci_low,paired_improvement_ci_high,paired_p_value,paired_q_value
gaussian,2,2,5,0,0,133.0719998709763,0.5853338854699891,132.3920667624172,133.97280961048753,140.00243872147573,0.604704787328581,6.930438891543618,0.0655282149102172,39.2,38,40,,,,166.1388746270095,False,False,,,,,,,
powerspherical,2,3,5,0,0,132.5268957596791,0.816247108535263,131.43931531302536,133.72403832930553,139.28788554517527,0.7146554779167471,6.760989582689502,0.10220792041609882,40.0,40,40,2462.2451924609372,3831.300820312499,6554.68798828125,242.6643338788068,False,False,,,,,,,
spcauchy,2,3,5,0,0,130.28575642259815,0.4032790939167375,129.79492284074615,130.8546737477749,137.95294662668735,0.4078315386955179,7.667189930058733,0.039946721335910644,39.6,38,40,0.983415797353983,0.9908559280633927,0.9968321919441223,195.63979228241368,True,True,vmf,5,1.7485496810719952,0.39097649479229046,3.1061228673517,0.02324956144844035,0.02324956144844035
vmf,2,3,5,0,0,132.03430610367013,1.3206154237539895,130.58636020708687,133.82575525211382,138.84101153023636,1.2536402664616715,6.806705455538593,0.07271073161871444,39.0,37,40,1316.8872360144044,2306.6062231445308,4268.6669921875,296.95757519440957,False,False,,,,,,,
gaussian,3,3,5,0,0,118.64983798642702,1.0727729119401663,116.74439809292177,119.31245142296899,127.80330715903753,1.1053194934986852,9.153468865986111,0.12093280269385599,38.6,37,40,,,,167.20172711479245,False,False,,,,,,,
powerspherical,3,4,5,0,0,119.03816327445115,0.4816130286513069,118.39719844769827,119.66745265526107,128.0022940720184,0.44696002768027077,8.964130744451209,0.05001628582631664,39.0,38,40,1893.0336232470702,2795.545061035156,4712.09326171875,242.82873643122147,False,False,,,,,,,
spcauchy,3,4,5,0,0,116.44122262302832,0.6294504868852816,115.73924593382245,117.01142690151552,126.29453080575676,0.6171092110709089,9.853307953363734,0.04876642929339317,38.4,36,40,0.9689856989026069,0.9782590258121491,0.9873262047767639,172.63563344160792,True,True,vmf,5,1.8136774956425483,1.1352502566572675,2.492104734627829,0.0017585722132912281,0.008589647479365092
vmf,3,4,5,0,0,118.25490011867089,0.3701391113934328,117.658858673482,118.56499007985562,127.2919692993164,0.359897041835919,9.037069313435614,0.03147844356675685,39.6,39,40,1002.5273804925537,1562.4938305664061,2715.940673828125,291.65568235780813,False,False,,,,,,,
gaussian,5,5,5,0,0,102.39751231519482,1.2543573951659714,100.88833791998368,104.043212890625,114.92253493296948,1.1616756118037426,12.52502249947077,0.12680073265600114,39.2,37,40,,,,167.7284075237927,False,False,,,,,,,
powerspherical,5,6,5,0,0,106.08593363701543,0.6518304562967576,105.14307036580918,106.9243710674817,118.20289146326766,0.5901020805470577,12.116957816594764,0.06714250699636858,39.4,38,40,1113.3126591625976,1463.995853271484,2169.713623046875,243.75405294540104,False,False,,,,,,,
spcauchy,5,6,5,0,0,100.21825743083713,0.20999245897264948,100.01550650294823,100.57391415366644,113.46152855595456,0.1922868119354501,13.243271146846723,0.01799513973559455,39.0,38,40,0.9377906251621246,0.9528008478879929,0.9674363732337952,173.5739235178102,True,True,gaussian,5,2.179254884357692,0.5755808600630483,3.782928908652336,0.01955453543441281,0.02324956144844035
vmf,5,6,5,0,0,104.55475307416313,0.4445544106582256,104.23034658311289,105.33644780026206,116.84253626956215,0.41043610993224544,12.287783444078663,0.04331420983478259,39.2,37,40,594.8601755627442,751.3849005126951,1127.423828125,294.17152932239696,False,False,,,,,,,
gaussian,10,10,5,0,0,81.06608633693261,0.23325506370840227,80.70644214485264,81.27455110187772,100.46641698909711,0.14115727234042247,19.40033080668389,0.17154974466950304,40.0,40,40,,,,169.74540861098794,False,False,,,,,,,
powerspherical,10,11,5,0,0,84.11778413796728,0.5399488614673312,83.3334617131873,84.60042185723027,103.70165555929836,0.4441439576367844,19.583871121949787,0.10593459842817833,39.8,39,40,940.4477482128907,1255.119885253906,1849.4150390625,243.12935736860382,False,False,,,,,,,
spcauchy,10,11,5,0,0,80.30193802073032,0.37567778344165026,79.83938695207426,80.82973731318607,100.72606854016269,0.33845483034245366,20.424130644979357,0.06447342754228769,39.8,39,40,0.8818187841439247,0.9106859290599824,0.9334428310394287,173.4251567570027,True,True,gaussian,5,0.7641483162022837,0.20623328756540582,1.3220633448391617,0.019058394505250233,0.02324956144844035
vmf,10,11,5,0,0,83.38146142114567,0.3563669388540037,82.99135000494462,83.91770326638523,102.97435049708886,0.29519011847453736,19.59288901316969,0.07247997073786003,39.8,39,40,476.94540524688716,651.5420355224609,945.582763671875,293.6392379568075,False,False,,,,,,,
gaussian,20,20,5,0,0,75.08051489335072,0.2731781701182527,74.82242593885977,75.52811827840684,98.27953887166856,0.17896809023944635,23.199023867257033,0.11958466725577922,39.0,38,40,,,,166.9366385082132,False,False,,,,,,,
powerspherical,20,21,5,0,0,82.28804313563094,6.020720759719031,77.77149818516985,92.62861855422395,108.0719390289693,5.054966103565929,25.783895883680902,0.9673427322125054,39.8,39,40,497.05748431976315,706.5285290527343,1141.109375,243.43846571319736,False,False,,,,,,,
